"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 04:31:42 UTC 2023","Sun Sep 24 04:31:53 UTC 2023","10833","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without last name","should subscribe as CR without last name",""
"passed","Sun Sep 24 04:42:45 UTC 2023","Sun Sep 24 04:42:55 UTC 2023","10235","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project with short password and repeat password","should post project with short password and repeat password",""
"passed","Sun Sep 24 04:17:16 UTC 2023","Sun Sep 24 04:17:25 UTC 2023","9039","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Start date","should post project without Start date",""
"passed","Sun Sep 24 04:41:40 UTC 2023","Sun Sep 24 04:41:47 UTC 2023","6823","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add language without writing level","should add language without writing level",""
"passed","Sun Sep 24 04:40:32 UTC 2023","Sun Sep 24 04:40:40 UTC 2023","7951","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without first name","should post project without first name",""
"passed","Sun Sep 24 04:16:44 UTC 2023","Sun Sep 24 04:16:53 UTC 2023","8641","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Budget","should post project without Budget",""
"passed","Sun Sep 24 04:34:39 UTC 2023","Sun Sep 24 04:36:51 UTC 2023","131700","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Availability","should filter freelancers by Availability",""
"passed","Sun Sep 24 04:42:55 UTC 2023","Sun Sep 24 04:43:29 UTC 2023","33764","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without passwords matching","should post project without passwords matching",""
"passed","Sun Sep 24 04:21:06 UTC 2023","Sun Sep 24 04:22:05 UTC 2023","59311","","Settings: [FNN-676] Change profile settings","","Settings: [FNN-676] Change profile settings","i don't want to display my profile in the database","i don't want to display my profile in the database",""
"passed","Sun Sep 24 04:10:01 UTC 2023","Sun Sep 24 04:10:10 UTC 2023","9791","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe with invalid repeat password","should subscribe with invalid repeat password",""
"passed","Sun Sep 24 04:17:34 UTC 2023","Sun Sep 24 04:17:43 UTC 2023","8912","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project without Description","should post project without Description",""
"passed","Sun Sep 24 04:07:48 UTC 2023","Sun Sep 24 04:08:14 UTC 2023","25369","","Login: [FNN-574] Log in from the footer Negative","","Login: [FNN-574] Log in from the footer Negative","should log in without credentials","should log in without credentials",""
"passed","Sun Sep 24 04:09:01 UTC 2023","Sun Sep 24 04:09:19 UTC 2023","18433","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month Pending","should upgrade account to Standard 1 month Pending",""
"passed","Sun Sep 24 04:10:30 UTC 2023","Sun Sep 24 04:11:51 UTC 2023","80571","","My Profile: [FNN-695] Add portfolio Positive","","My Profile: [FNN-695] Add portfolio Positive","should add portfolio","should add portfolio",""
"passed","Sun Sep 24 04:07:13 UTC 2023","Sun Sep 24 04:07:50 UTC 2023","36669","","Login: [FNN-685] Log out","","Login: [FNN-685] Log out","should log out","should log out",""
"passed","Sun Sep 24 04:17:43 UTC 2023","Sun Sep 24 04:18:12 UTC 2023","29265","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project with short Description","should post project with short Description",""
"failed","Sun Sep 24 04:46:25 UTC 2023","Sun Sep 24 04:47:25 UTC 2023","60050","","Create Profile: [FNN-684] Create profile Negative","","Create Profile: [FNN-684] Create profile Negative","should create profile with short Description of yourself","should create profile with short Description of yourself",""
"passed","Sun Sep 24 04:40:25 UTC 2023","Sun Sep 24 04:40:33 UTC 2023","7458","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 2 with invalid website format","should pass step 2 with invalid website format",""
"passed","Sun Sep 24 04:37:38 UTC 2023","Sun Sep 24 04:38:43 UTC 2023","65228","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Minimum rating","should filter freelancers by Minimum rating",""
"passed","Sun Sep 24 04:08:14 UTC 2023","Sun Sep 24 04:08:25 UTC 2023","10747","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without last name","should subscribe without last name",""
"passed","Sun Sep 24 04:30:09 UTC 2023","Sun Sep 24 04:30:48 UTC 2023","38477","","Freelancer search: [FNN-815] Freelancer search as non-CR user","","Freelancer search: [FNN-815] Freelancer search as non-CR user","should filter freelancers by Location","should filter freelancers by Location",""
"passed","Sun Sep 24 04:19:23 UTC 2023","Sun Sep 24 04:19:38 UTC 2023","15100","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password with invalid repeat new password","should change password with invalid repeat new password",""
"passed","Sun Sep 24 04:11:44 UTC 2023","Sun Sep 24 04:11:54 UTC 2023","9564","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should add Motivation","should add Motivation",""
"passed","Sun Sep 24 04:07:41 UTC 2023","Sun Sep 24 04:07:43 UTC 2023","1930","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in without password","should log in without password",""
"passed","Sun Sep 24 04:28:47 UTC 2023","Sun Sep 24 04:30:09 UTC 2023","82464","","Freelancer search: [FNN-815] Freelancer search as non-CR user","","Freelancer search: [FNN-815] Freelancer search as non-CR user","should filter freelancers by Sector","should filter freelancers by Sector",""
"passed","Sun Sep 24 04:40:05 UTC 2023","Sun Sep 24 04:40:12 UTC 2023","7311","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add education without institute","should add education without institute",""
"passed","Sun Sep 24 04:21:54 UTC 2023","Sun Sep 24 04:22:40 UTC 2023","46021","","My Network: [FNN-1233] Invite manually via email without custom message","","My Network: [FNN-1233] Invite manually via email without custom message","should invite manually via email with valid recipient data and without message","should invite manually via email with valid recipient data and without message",""
"passed","Sun Sep 24 04:27:43 UTC 2023","Sun Sep 24 04:28:41 UTC 2023","58473","","Freelancer search: [FNN-817] Add note","","Freelancer search: [FNN-817] Add note","should add note from the notes popup","should add note from the notes popup",""
"skipped","Sun Sep 24 04:48:24 UTC 2023","Sun Sep 24 04:48:57 UTC 2023","33782","","My Network: [FNN-1027] Invite freelancers","","My Network: [FNN-1027] Invite freelancers","should check network as sender user","should check network as sender user",""
