"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 06:09:01 UTC 2024","Tue Apr 16 06:10:22 UTC 2024","80787","","Subscribe: [FNN-577] Subscribe Negative","","Subscribe: [FNN-577] Subscribe Negative","should subscribe without category","should subscribe without category",""
"passed","Tue Apr 16 07:04:41 UTC 2024","Tue Apr 16 07:04:54 UTC 2024","13314","","My Profile: [FNN-719] Add resume Negative","","My Profile: [FNN-719] Add resume Negative","should add experience without position","should add experience without position",""
"passed","Tue Apr 16 06:29:41 UTC 2024","Tue Apr 16 06:32:07 UTC 2024","145565","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Category","should filter projects by Category",""
"passed","Tue Apr 16 06:11:10 UTC 2024","Tue Apr 16 06:11:41 UTC 2024","30305","","Upgrade: [FNN-659] Upgrade account Negative","","Upgrade: [FNN-659] Upgrade account Negative","should upgrade account to Standard 1 month: Generic decline","should upgrade account to Standard 1 month: Generic decline",""
"passed","Tue Apr 16 06:13:23 UTC 2024","Tue Apr 16 06:16:25 UTC 2024","181908","","Upgrade","","Upgrade","[FNN-658] Upgrade account Positive: Business 1 month","[FNN-658] Upgrade account Positive: Business 1 month",""
"passed","Tue Apr 16 07:01:27 UTC 2024","Tue Apr 16 07:01:39 UTC 2024","12490","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with short password","should subscribe as CR with short password",""
"passed","Tue Apr 16 06:11:27 UTC 2024","Tue Apr 16 06:13:23 UTC 2024","116092","","Upgrade","","Upgrade","[FNN-658] Upgrade account Positive: Premium 1 month","[FNN-658] Upgrade account Positive: Premium 1 month",""
"passed","Tue Apr 16 07:07:20 UTC 2024","Tue Apr 16 07:07:39 UTC 2024","18667","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 3 without data","should pass step 3 without data",""
"passed","Tue Apr 16 07:03:30 UTC 2024","Tue Apr 16 07:04:41 UTC 2024","71706","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details without required fields","should edit account details without required fields",""
"passed","Tue Apr 16 06:18:45 UTC 2024","Tue Apr 16 06:19:20 UTC 2024","34109","","My Profile: [FNN-718] Add portfolio Negative","","My Profile: [FNN-718] Add portfolio Negative","should add portfolio without Type","should add portfolio without Type",""
"passed","Tue Apr 16 06:50:28 UTC 2024","Tue Apr 16 06:51:46 UTC 2024","78719","","Freelancer search: [FNN-924] Freelancer search as CR user","","Freelancer search: [FNN-924] Freelancer search as CR user","should filter freelancers by Minimum rating","should filter freelancers by Minimum rating",""
"passed","Tue Apr 16 07:01:51 UTC 2024","Tue Apr 16 07:02:04 UTC 2024","12885","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without agreeing to the Terms and Conditions","should subscribe as CR without agreeing to the Terms and Conditions",""
"passed","Tue Apr 16 06:28:43 UTC 2024","Tue Apr 16 06:30:34 UTC 2024","111263","","Settings: [FNN-679] Delete account with subscription","","Settings: [FNN-679] Delete account with subscription","should delete account with subscription","should delete account with subscription",""
"passed","Tue Apr 16 07:06:36 UTC 2024","Tue Apr 16 07:06:44 UTC 2024","7170","","My Profile: [FNN-730] Request reference Negative","","My Profile: [FNN-730] Request reference Negative","should pass step 2 without phone","should pass step 2 without phone",""
"passed","Tue Apr 16 06:59:35 UTC 2024","Tue Apr 16 06:59:46 UTC 2024","11075","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without last name","should subscribe as CR without last name",""
"passed","Tue Apr 16 06:08:29 UTC 2024","Tue Apr 16 06:09:41 UTC 2024","72236","","Login: [FNN-685] Log out","","Login: [FNN-685] Log out","should log out","should log out",""
"passed","Tue Apr 16 07:11:17 UTC 2024","Tue Apr 16 07:15:28 UTC 2024","251129","","My Network: [FNN-664] Invite freelancer","","My Network: [FNN-664] Invite freelancer","should invite freelancer","should invite freelancer",""
"passed","Tue Apr 16 06:32:32 UTC 2024","Tue Apr 16 06:33:01 UTC 2024","29077","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Fixed price","should filter projects by Fixed price",""
"failed","Tue Apr 16 07:22:17 UTC 2024","Tue Apr 16 07:27:36 UTC 2024","319146","","My Transactions: [FNN-1432] Milestones project: Start project. Negative","","My Transactions: [FNN-1432] Milestones project: Start project. Negative","should start project without milestone","should start project without milestone",""
"passed","Tue Apr 16 07:02:34 UTC 2024","Tue Apr 16 07:02:38 UTC 2024","3761","","CR: [FNN-751] Invite to the organization manually Negative","","CR: [FNN-751] Invite to the organization manually Negative","should invite manually to the organization without first name","should invite manually to the organization without first name",""
"skipped","Tue Apr 16 07:28:56 UTC 2024","Tue Apr 16 07:28:56 UTC 2024","0","","My Transactions: [FNN-708] Hourly project: In advance. Positive","","My Transactions: [FNN-708] Hourly project: In advance. Positive","should approve the time and pay for extra money","should approve the time and pay for extra money",""
